Date,Open,High,Low,Close,Adj Close,Volume
2017-06-23,,,,,,
2017-06-26,175000.0,176000.0,172500.0,173500.0,173500.0,158817.0
2017-06-27,173000.0,174500.0,172000.0,172500.0,172500.0,130680.0
2017-06-28,172500.0,172500.0,170000.0,171500.0,171500.0,209845.0
2017-06-29,173500.0,177000.0,173000.0,176000.0,176000.0,181365.0
2017-06-30,175000.0,177500.0,174000.0,176500.0,176500.0,169157.0
2017-07-03,177000.0,178000.0,174000.0,175000.0,175000.0,165988.0
2017-07-04,175000.0,177000.0,174000.0,174000.0,174000.0,150652.0
2017-07-05,174000.0,175000.0,171500.0,172500.0,172500.0,193981.0
2017-07-06,172500.0,174000.0,171000.0,172000.0,172000.0,143980.0
2017-07-07,172000.0,175000.0,171500.0,174000.0,174000.0,295259.0
2017-07-10,173000.0,174500.0,170500.0,171500.0,171500.0,144279.0
2017-07-11,172000.0,172500.0,165500.0,166000.0,166000.0,316877.0
2017-07-12,165500.0,168500.0,163500.0,164000.0,164000.0,225538.0
2017-07-13,165500.0,167500.0,165500.0,166000.0,166000.0,152801.0
2017-07-14,165000.0,168500.0,164000.0,168500.0,168500.0,121320.0
2017-07-17,170500.0,171000.0,169000.0,170000.0,170000.0,144467.0
2017-07-18,170000.0,170500.0,167500.0,168500.0,168500.0,88390.0
2017-07-19,170000.0,170000.0,168000.0,170000.0,170000.0,91351.0
2017-07-20,171000.0,175000.0,170500.0,174500.0,174500.0,225060.0
2017-07-21,174000.0,178000.0,173000.0,177500.0,177500.0,202543.0
2017-07-24,178000.0,178500.0,173500.0,174000.0,174000.0,91632.0
2017-07-25,174000.0,178000.0,174000.0,175000.0,175000.0,118852.0
2017-07-26,177000.0,180000.0,176000.0,180000.0,180000.0,263479.0
2017-07-27,180000.0,182500.0,179000.0,181000.0,181000.0,261649.0
2017-07-28,179500.0,181000.0,177000.0,180000.0,180000.0,232247.0
2017-07-31,181000.0,182000.0,174500.0,174500.0,174500.0,252105.0
2017-08-01,175000.0,185000.0,174500.0,182500.0,182500.0,461779.0
2017-08-02,182000.0,182500.0,177000.0,177500.0,177500.0,219811.0
2017-08-03,177500.0,179500.0,176000.0,178000.0,178000.0,226432.0
2017-08-04,177000.0,179000.0,175000.0,176000.0,176000.0,122655.0
2017-08-07,176000.0,177000.0,174000.0,174500.0,174500.0,100782.0
2017-08-08,173000.0,175000.0,171000.0,172500.0,172500.0,182438.0
2017-08-09,170500.0,171500.0,169500.0,170500.0,170500.0,125334.0
2017-08-10,169500.0,173500.0,166000.0,173500.0,173500.0,281443.0
2017-08-11,168500.0,170500.0,166000.0,168500.0,168500.0,204022.0
2017-08-14,169000.0,172500.0,167500.0,168000.0,168000.0,87969.0
2017-08-16,168000.0,170000.0,159000.0,162000.0,162000.0,497509.0
