DATE,DEXKOUS
2015-01-01,
2015-01-02,1103.73
2015-01-05,1109.07
2015-01-06,1098.14
2015-01-07,1101.51
2015-01-08,1096.19
2015-01-09,1086.14
2015-01-12,1083.25
2015-01-13,1080.42
2015-01-14,1080.45
2015-01-15,1077.94
2015-01-16,1076.68
2015-01-19,
2015-01-20,1087.17
2015-01-21,1081.94
2015-01-22,1081.75
2015-01-23,1075.75
2015-01-26,1079.42
2015-01-27,1075.31
2015-01-28,1084.84
2015-01-29,1098.6
2015-01-30,1104.3
2015-02-02,1099.61
2015-02-03,1096.06
2015-02-04,1086.79
2015-02-05,1087.05
2015-02-06,1097.26
2015-02-09,1096.4
2015-02-10,1098.61
2015-02-11,1108.19
2015-02-12,1100.87
2015-02-13,1097.2
2015-02-16,
2015-02-17,1107.33
2015-02-18,1112.82
2015-02-19,1110.69
2015-02-20,1110.06
2015-02-23,1108.25
2015-02-24,1108.05
2015-02-25,1101.53
2015-02-26,1100.33
2015-02-27,1100.65
2015-03-02,1101.46
2015-03-03,1095.65
2015-03-04,1100.2
2015-03-05,1100.11
2015-03-06,1110.36
2015-03-09,1114.18
2015-03-10,1123.32
2015-03-11,1131.33
2015-03-12,1120.13
2015-03-13,1135.7
2015-03-16,1129.62
2015-03-17,1127.69
2015-03-18,1127.09
2015-03-19,1121.21
2015-03-20,1113.87
2015-03-23,1106.68
2015-03-24,1104.2
2015-03-25,1099.72
2015-03-26,1103.59
2015-03-27,1103.6
2015-03-30,1106.39
2015-03-31,1107.71
2015-04-01,1098.1
2015-04-02,1089.49
2015-04-03,1085.65
2015-04-06,1083.38
2015-04-07,1093.76
2015-04-08,1093.77
2015-04-09,1093.8
2015-04-10,1093.13
2015-04-13,1100.41
2015-04-14,1090.76
2015-04-15,1095.07
2015-04-16,1086.89
2015-04-17,1081.99
2015-04-20,1081.27
2015-04-21,1081.54
2015-04-22,1080.64
2015-04-23,1080.0
2015-04-24,1075.85
2015-04-27,1071.01
2015-04-28,1063.03
2015-04-29,1066.48
2015-04-30,1076.74
2015-05-01,1080.22
2015-05-04,1081.19
2015-05-05,1080.46
2015-05-06,1077.23
2015-05-07,1093.55
2015-05-08,1087.28
2015-05-11,1095.39
2015-05-12,1093.81
2015-05-13,1089.72
2015-05-14,1089.46
2015-05-15,1083.05
2015-05-18,1088.19
2015-05-19,1093.94
2015-05-20,1097.62
2015-05-21,1092.41
2015-05-22,1093.46
2015-05-25,
2015-05-26,1106.06
2015-05-27,1107.84
2015-05-28,1109.86
2015-05-29,1111.99
2015-06-01,1115.61
2015-06-02,1109.34
2015-06-03,1104.33
2015-06-04,1112.56
2015-06-05,1121.18
2015-06-08,1121.95
2015-06-09,1119.38
2015-06-10,1110.32
2015-06-11,1113.24
2015-06-12,1111.63
2015-06-15,1114.94
2015-06-16,1118.08
2015-06-17,1122.83
2015-06-18,1101.55
2015-06-19,1102.64
2015-06-22,1098.85
2015-06-23,1104.54
2015-06-24,1110.67
2015-06-25,1111.05
2015-06-26,1122.31
2015-06-29,1119.09
2015-06-30,1117.34
2015-07-01,1123.89
2015-07-02,1119.95
2015-07-03,
2015-07-06,1125.58
2015-07-07,1133.75
2015-07-08,1131.75
2015-07-09,1133.69
2015-07-10,1127.29
2015-07-13,1133.93
2015-07-14,1142.75
2015-07-15,1146.42
2015-07-16,1145.24
2015-07-17,1148.48
2015-07-20,1156.38
2015-07-21,1148.33
2015-07-22,1156.49
2015-07-23,1160.64
2015-07-24,1169.02
2015-07-27,1167.75
2015-07-28,1161.09
2015-07-29,1158.49
2015-07-30,1173.42
2015-07-31,1159.7
2015-08-03,1168.63
2015-08-04,1161.2
2015-08-05,1174.4
2015-08-06,1163.25
2015-08-07,1164.0
2015-08-10,1161.69
2015-08-11,1181.36
2015-08-12,1175.03
2015-08-13,1176.02
2015-08-14,1177.62
2015-08-17,1181.53
2015-08-18,1185.85
2015-08-19,1184.35
2015-08-20,1185.63
2015-08-21,1194.6
2015-08-24,1191.13
2015-08-25,1195.25
2015-08-26,1185.52
2015-08-27,1170.49
2015-08-28,1180.93
2015-08-31,1182.54
2015-09-01,1179.78
2015-09-02,1183.46
2015-09-03,1188.07
2015-09-04,1196.4
2015-09-07,
2015-09-08,1195.57
